318,2019-01-22 (Sacramento),,
430,2018-12-30 (Chicago),,
648,2019-01-06 (Indiana),,
655,2019-01-01 (Utah),,
245,2018-12-30 (Chicago),,
131,2019-01-22 (Sacramento),,
128,2019-01-11 (Brooklyn),,
416,2018-12-30 (Chicago),,
268,2018-12-30 (Chicago),,
124,2019-01-11 (Brooklyn),,
489,2019-01-06 (Indiana),,
650,2019-01-19 (Memphis),,
297,2019-01-19 (Memphis),,
659,2019-01-06 (Indiana),,
663,2019-01-19 (Memphis),,
113,2018-12-30 (Chicago),,
126,2019-01-06 (Indiana),,
651,2019-01-08 (Atlanta),,
384,2019-01-19 (Memphis),,
44,2019-01-19 (Memphis),,
551,2019-01-19 (Memphis),,
643,2019-01-08 (Atlanta),,
652,2019-01-06 (Indiana),,
273,2019-01-19 (Memphis),,
176,2019-01-11 (Brooklyn),,
265,2019-01-06 (Indiana),,
252,2019-01-06 (Indiana),,
634,2019-01-01 (Utah),,
548,2019-01-11 (Brooklyn),,
657,2019-01-01 (Utah),,
133,2019-01-11 (Brooklyn),,
290,2018-12-30 (Chicago),,
353,2019-01-19 (Memphis),,
114,2018-12-30 (Chicago),,
516,2019-01-01 (Utah),,
387,2019-01-11 (Brooklyn),,
166,2019-01-06 (Indiana),,
661,2018-12-30 (Chicago),,
256,2019-01-19 (Memphis),,
469,2019-01-06 (Indiana),,
628,2018-12-30 (Chicago),,
530,2019-01-22 (Sacramento),,
63,2019-01-01 (Utah),,
485,2019-01-17 (Phoenix),,
414,2019-01-22 (Sacramento),,
52,2018-12-30 (Chicago),,
656,2019-01-17 (Phoenix),,
36,2019-01-11 (Brooklyn),,
510,2019-01-11 (Brooklyn),,
293,2019-01-17 (Phoenix),,
262,2019-01-11 (Brooklyn),,
380,2019-01-19 (Memphis),,
625,2019-01-19 (Memphis),,
163,2019-01-08 (Atlanta),,
641,2019-01-11 (Brooklyn),,
370,2018-12-30 (Chicago),,
377,2019-01-17 (Phoenix),,
317,2019-01-22 (Sacramento),,
299,2018-12-30 (Chicago),,
378,2019-01-11 (Brooklyn),,
417,2019-01-06 (Indiana),,
112,2018-12-30 (Chicago),,
647,2019-01-06 (Indiana),,
644,2019-01-06 (Indiana),,
43,2018-12-30 (Chicago),,
301,2019-01-11 (Brooklyn),,
640,2019-01-19 (Memphis),,
562,2019-01-17 (Phoenix),,
401,2019-01-11 (Brooklyn),,
479,2019-01-08 (Atlanta),,
101,2019-01-01 (Utah),,
533,2018-12-30 (Chicago),,
241,2019-01-11 (Brooklyn),,
172,2019-01-08 (Atlanta),,
615,2019-01-11 (Brooklyn),,
349,2019-01-11 (Brooklyn),,
623,2019-01-11 (Brooklyn),,
107,2018-12-30 (Chicago),,
280,2019-01-19 (Memphis),,
243,2019-01-19 (Memphis),,
494,2019-01-17 (Phoenix),,
637,2019-01-06 (Indiana),,
