440,2018-11-06 (Las Vegas),,
330,2018-11-06 (Las Vegas),,
510,2018-11-06 (Las Vegas),,
271,2018-11-06 (Las Vegas),,
405,2018-11-06 (Las Vegas),,
257,2018-11-06 (Las Vegas),,
489,2018-11-06 (Las Vegas),,
289,2018-11-06 (Las Vegas),,
353,2018-11-06 (Las Vegas),,
498,2018-11-06 (Las Vegas),,
398,2018-11-06 (Las Vegas),,
344,2018-11-06 (Las Vegas),,
447,2018-11-09 (New Jersey),,
268,2018-11-09 (New Jersey),,
394,2018-11-09 (New Jersey),,
509,,2018-11-19 (Columbus),
485,,2018-11-19 (Columbus),
395,,2018-11-19 (Columbus),
506,2018-11-09 (New Jersey),,
411,2018-11-09 (New Jersey),,
496,2018-11-09 (New Jersey),,
378,2018-11-09 (New Jersey),,
508,2018-11-09 (New Jersey),,
441,2018-11-09 (New Jersey),,
417,2018-11-09 (New Jersey),,
275,2018-11-09 (New Jersey),,
486,2018-11-09 (New Jersey),,
281,2018-11-09 (New Jersey),,
507,2018-11-09 (New Jersey),,
342,,2018-11-06 (Las Vegas),
433,,2018-11-06 (Las Vegas),
358,,2018-11-09 (New Jersey),
282,,2018-11-09 (New Jersey),
443,,2018-11-09 (New Jersey),
354,2018-11-24 (Philadelphia),,
270,2018-11-24 (Philadelphia),,
513,2018-11-24 (Philadelphia),,
410,2018-11-24 (Philadelphia),,
258,2018-11-24 (Philadelphia),,
375,2018-11-24 (Philadelphia),,
380,,2018-11-28 (San Jose),
435,2018-11-24 (Philadelphia),,
350,,2018-12-06 (Detroit),
438,,2018-12-06 (Detroit),
356,,2018-12-06 (Detroit),
456,,2018-12-06 (Detroit),
402,,2018-12-06 (Detroit),
429,,2018-12-06 (Detroit),
309,,2018-12-20 (Florida),
328,,2018-12-20 (Florida),
452,2018-11-24 (Philadelphia),,
424,,2018-12-20 (Florida),
336,2018-11-24 (Philadelphia),,
385,2018-11-24 (Philadelphia),,
337,2018-11-24 (Philadelphia),,
421,2018-11-24 (Philadelphia),,
465,2018-11-24 (Philadelphia),,
272,2018-11-24 (Philadelphia),,
399,2018-11-24 (Philadelphia),,
419,,2018-11-06 (Las Vegas),
335,,2018-11-06 (Las Vegas),
364,,2018-11-06 (Las Vegas),
369,2018-11-26 (Boston),,
499,2018-11-26 (Boston),,
413,2018-11-26 (Boston),,
488,2018-11-26 (Boston),,
312,2018-11-26 (Boston),,
446,2018-11-26 (Boston),,
382,2018-11-26 (Boston),,
324,2018-11-26 (Boston),,
317,,2018-11-28 (San Jose),
296,,2018-11-28 (San Jose),
285,,2018-11-28 (San Jose),
359,2018-11-26 (Boston),,
387,2018-11-26 (Boston),,
478,2018-11-26 (Boston),,
319,2018-11-26 (Boston),,
391,2018-11-26 (Boston),,
372,,2018-12-06 (Detroit),
477,,2018-12-06 (Detroit),
494,,2018-12-06 (Detroit),
431,2018-11-26 (Boston),,
409,2018-11-26 (Boston),,
349,2018-11-26 (Boston),,
284,2018-11-26 (Boston),,
276,2018-11-28 (San Jose),,
492,2018-11-28 (San Jose),,
379,2018-11-28 (San Jose),,
460,2018-11-28 (San Jose),,
313,2018-11-28 (San Jose),,
455,2018-11-28 (San Jose),,
341,2018-11-28 (San Jose),,
273,2018-11-28 (San Jose),,
497,2018-11-28 (San Jose),,
310,2018-11-28 (San Jose),,
439,2018-11-28 (San Jose),,
482,2018-11-28 (San Jose),,
348,2018-12-06 (Detroit),,
314,2018-12-06 (Detroit),,
280,2018-12-06 (Detroit),,
377,2018-12-06 (Detroit),,
368,2018-12-06 (Detroit),,
331,2018-12-06 (Detroit),,
355,2018-12-06 (Detroit),,
293,2018-12-06 (Detroit),,
371,2018-12-20 (Florida),,
480,2018-12-20 (Florida),,
308,2018-12-20 (Florida),,
278,2018-12-20 (Florida),,
430,2018-12-20 (Florida),,
366,2018-12-20 (Florida),,
287,2018-12-20 (Florida),,
596,,2018-11-24 (Philadelphia),
595,,2018-11-24 (Philadelphia),
64,2019-11-19 (Columbus),,
428,2019-11-19 (Columbus),,
